mode	position	offset_bytes	role	avg_cycles	probes
sw	135	8640	cache_miss	315	20
sw	136	8704	cache_miss	263	20
sw	137	8768	cache_miss	256	20
sw	138	8832	cache_miss	256	20
sw	139	8896	cache_miss	259	20
sw	140	8960	cache_miss	263	20
sw	141	9024	cache_miss	256	20
sw	142	9088	cache_miss	267	20
sw	143	9152	cache_miss	259	20
sw	144	9216	cache_miss	247	20
sw	145	9280	cache_miss	246	20
sw	146	9344	cache_miss	254	20
sw	147	9408	cache_miss	243	20
sw	148	9472	cache_miss	284	20
sw	149	9536	cache_miss	305	20
sw	150	9600	accessed	29	20
sw	151	9664	prefetched	97	20
sw	152	9728	prefetched	61	20
sw	153	9792	prefetched	50	20
sw	154	9856	prefetched	99	20
sw	155	9920	cache_miss	121	20
sw	156	9984	cache_miss	156	20
sw	157	10048	cache_miss	169	20
sw	158	10112	cache_miss	155	20
sw	159	10176	cache_miss	189	20
sw	160	10240	prefetched	40	20
sw	161	10304	cache_miss	248	20
sw	162	10368	cache_miss	246	20
sw	163	10432	cache_miss	278	20
sw	164	10496	cache_miss	287	20
sw	165	10560	cache_miss	383	20
sw	166	10624	cache_miss	256	20
sw	167	10688	cache_miss	367	20
sw	168	10752	cache_miss	231	20
sw	169	10816	cache_miss	230	20
sw	170	10880	cache_miss	235	20
sw	171	10944	cache_miss	236	20
sw	172	11008	cache_miss	258	20
sw	173	11072	cache_miss	258	20
sw	174	11136	cache_miss	273	20
sw	175	11200	cache_miss	266	20
sw	176	11264	cache_miss	255	20
sw	177	11328	cache_miss	249	20
sw	178	11392	cache_miss	256	20
sw	179	11456	cache_miss	233	20
sw	180	11520	accessed	29	20
sw	181	11584	prefetched	84	20
sw	182	11648	prefetched	41	20
sw	183	11712	cache_miss	121	20
sw	184	11776	prefetched	109	20
sw	185	11840	cache_miss	127	20
sw	186	11904	cache_miss	121	20
sw	187	11968	cache_miss	132	20
sw	188	12032	prefetched	112	20
sw	189	12096	prefetched	99	20
sw	190	12160	prefetched	85	20
sw	191	12224	cache_miss	257	20
sw	192	12288	cache_miss	232	20
sw	193	12352	cache_miss	238	20
sw	194	12416	cache_miss	235	20
sw	195	12480	cache_miss	236	20
sw	196	12544	cache_miss	257	20
sw	197	12608	cache_miss	448	20
sw	198	12672	cache_miss	260	20
sw	199	12736	cache_miss	514	20
