# store-stride PA xor-index contribution test
# buddy_pages=2097152 buddy_bytes=8589934592 stride_lines=5 accesses=5 train_only_accesses=4 rounds=40000 probe_positions=64
# pair condition: PA1 ^ PA2 == mask, with identical page offset
# single-bit controls cover MIN_DIFF_BIT..MAX_DIFF_BIT; pairwise xor masks cover MIN_DIFF_BIT..33
# targeted checks: triple groups should miss; pairpair cross-group masks should hit for the candidate xor hash
# trainer: PA1 + [0..3]*5*LINE_SIZE, trigger: PA2 + 20*LINE_SIZE, final: PA2 + 25*LINE_SIZE
case	latency_ns
# probe_detail	bit_13_full	48	3072	164	625
# probe_detail	bit_13_full	49	3136	162	625
# probe_detail	bit_13_full	50	3200	161	625
# probe_detail	bit_13_full	51	3264	160	625
# probe_detail	bit_13_full	52	3328	165	625
# probe_detail	bit_13_full	53	3392	162	625
# probe_detail	bit_13_full	54	3456	161	625
# probe_detail	bit_13_full	55	3520	161	625
# probe_detail	bit_13_full	56	3584	157	625
# probe_detail	bit_13_full	57	3648	159	625
# probe_detail	bit_13_full	58	3712	156	625
# probe_detail	bit_13_full	59	3776	156	625
# probe_detail	bit_13_full	60	3840	158	625
# probe_detail	bit_13_full	61	3904	160	625
# probe_detail	bit_13_full	62	3968	158	625
# probe_detail	bit_13_full	63	4032	211	625
bit_13_full	160
# pair_detail	bit_14_full	va1=0x0000e1ed73dcf000	pa1=0x0000000149bb8000	va2=0x0000e1ed73dd3000	pa2=0x0000000149bbc000	mask=0x0000000000004000	pa_xor=0x0000000000004000
# probe_detail	bit_14_full	0	0	159	625
# probe_detail	bit_14_full	1	64	159	625
# probe_detail	bit_14_full	2	128	157	625
# probe_detail	bit_14_full	3	192	161	625
# probe_detail	bit_14_full	4	256	157	625
# probe_detail	bit_14_full	5	320	158	625
# probe_detail	bit_14_full	6	384	159	625
# probe_detail	bit_14_full	7	448	162	625
# probe_detail	bit_14_full	8	512	158	625
# probe_detail	bit_14_full	9	576	158	625
# probe_detail	bit_14_full	10	640	160	625
# probe_detail	bit_14_full	11	704	158	625
# probe_detail	bit_14_full	12	768	158	625
# probe_detail	bit_14_full	13	832	159	625
# probe_detail	bit_14_full	14	896	161	625
# probe_detail	bit_14_full	15	960	158	625
# probe_detail	bit_14_full	16	1024	157	625
# probe_detail	bit_14_full	17	1088	156	625
# probe_detail	bit_14_full	18	1152	159	625
# probe_detail	bit_14_full	19	1216	155	625
# probe_detail	bit_14_full	20	1280	31	625
# probe_detail	bit_14_full	21	1344	156	625
# probe_detail	bit_14_full	22	1408	159	625
# probe_detail	bit_14_full	23	1472	156	625
# probe_detail	bit_14_full	24	1536	158	625
# probe_detail	bit_14_full	25	1600	160	625
# probe_detail	bit_14_full	26	1664	159	625
# probe_detail	bit_14_full	27	1728	162	625
# probe_detail	bit_14_full	28	1792	158	625
# probe_detail	bit_14_full	29	1856	160	625
# probe_detail	bit_14_full	30	1920	160	625
# probe_detail	bit_14_full	31	1984	163	625
# probe_detail	bit_14_full	32	2048	159	625
# probe_detail	bit_14_full	33	2112	160	625
# probe_detail	bit_14_full	34	2176	156	625
# probe_detail	bit_14_full	35	2240	158	625
# probe_detail	bit_14_full	36	2304	157	625
# probe_detail	bit_14_full	37	2368	161	625
# probe_detail	bit_14_full	38	2432	162	625
# probe_detail	bit_14_full	39	2496	161	625
# probe_detail	bit_14_full	40	2560	160	625
# probe_detail	bit_14_full	41	2624	159	625
# probe_detail	bit_14_full	42	2688	160	625
# probe_detail	bit_14_full	43	2752	160	625
# probe_detail	bit_14_full	44	2816	159	625
# probe_detail	bit_14_full	45	2880	158	625
# probe_detail	bit_14_full	46	2944	158	625
# probe_detail	bit_14_full	47	3008	159	625
# probe_detail	bit_14_full	48	3072	165	625
# probe_detail	bit_14_full	49	3136	161	625
# probe_detail	bit_14_full	50	3200	159	625
# probe_detail	bit_14_full	51	3264	160	625
# probe_detail	bit_14_full	52	3328	162	625
# probe_detail	bit_14_full	53	3392	160	625
# probe_detail	bit_14_full	54	3456	161	625
# probe_detail	bit_14_full	55	3520	161	625
# probe_detail	bit_14_full	56	3584	155	625
# probe_detail	bit_14_full	57	3648	159	625
# probe_detail	bit_14_full	58	3712	156	625
# probe_detail	bit_14_full	59	3776	156	625
# probe_detail	bit_14_full	60	3840	156	625
# probe_detail	bit_14_full	61	3904	159	625
# probe_detail	bit_14_full	62	3968	157	625
# probe_detail	bit_14_full	63	4032	156	625
bit_14_full	160
