stride_lines	stride_bytes	train_step	avg_ns
55	3520	27	189
55	3520	35	222
55	3520	7	185
55	3520	13	186
55	3520	23	202
55	3520	31	193
55	3520	4	205
55	3520	22	219
55	3520	15	210
55	3520	11	230
55	3520	16	202
55	3520	20	239
55	3520	38	206
55	3520	33	226
55	3520	28	203
55	3520	19	185
55	3520	14	179
55	3520	30	215
55	3520	40	225
55	3520	12	170
55	3520	32	183
55	3520	1	180
55	3520	29	180
55	3520	21	179
55	3520	36	176
55	3520	8	182
55	3520	6	184
55	3520	3	200
55	3520	2	179
55	3520	9	178
55	3520	34	178
55	3520	37	185
55	3520	26	209
55	3520	25	181
55	3520	24	180
55	3520	10	184
55	3520	18	181
52	3328	17	205
52	3328	39	204
52	3328	5	166
52	3328	27	191
52	3328	35	85
52	3328	7	84
52	3328	13	160
52	3328	23	86
52	3328	31	87
52	3328	4	86
52	3328	22	84
52	3328	15	177
52	3328	11	170
52	3328	16	188
52	3328	20	218
52	3328	38	232
52	3328	33	181
52	3328	28	118
52	3328	19	84
52	3328	14	201
52	3328	30	85
52	3328	40	87
52	3328	12	160
52	3328	32	85
52	3328	1	84
52	3328	29	84
52	3328	21	85
52	3328	36	92
52	3328	8	85
52	3328	6	85
52	3328	3	86
52	3328	2	86
52	3328	9	218
52	3328	34	246
52	3328	37	226
52	3328	26	208
52	3328	25	193
52	3328	24	173
52	3328	10	232
52	3328	18	86
53	3392	17	210
53	3392	39	207
53	3392	5	169
53	3392	27	181
53	3392	35	184
53	3392	7	209
53	3392	13	221
53	3392	23	221
53	3392	31	224
53	3392	4	226
53	3392	22	211
53	3392	15	220
53	3392	11	236
53	3392	16	206
53	3392	20	218
53	3392	38	187
53	3392	33	225
53	3392	28	189
53	3392	19	243
53	3392	14	215
53	3392	30	224
53	3392	40	293
53	3392	12	186
53	3392	32	195
53	3392	1	222
53	3392	29	230
53	3392	21	234
53	3392	36	189
53	3392	8	227
53	3392	6	237
53	3392	3	215
53	3392	2	227
53	3392	9	204
53	3392	34	223
53	3392	37	87
53	3392	26	86
53	3392	25	85
53	3392	24	85
53	3392	10	159
53	3392	18	83
16	1024	17	89
16	1024	39	82
16	1024	5	83
16	1024	27	81
16	1024	35	82
16	1024	7	81
16	1024	13	83
16	1024	23	82
16	1024	31	81
16	1024	4	85
16	1024	22	81
16	1024	15	82
16	1024	11	82
16	1024	16	88
16	1024	20	83
16	1024	38	82
16	1024	33	82
16	1024	28	84
16	1024	19	81
16	1024	14	82
16	1024	30	81
16	1024	40	84
16	1024	12	84
16	1024	32	84
16	1024	1	83
16	1024	29	82
16	1024	21	81
16	1024	36	84
16	1024	8	83
16	1024	6	82
16	1024	3	124
16	1024	2	237
16	1024	9	85
16	1024	34	83
16	1024	37	83
16	1024	26	84
16	1024	25	81
16	1024	24	83
16	1024	10	82
16	1024	18	81
60	3840	17	209
60	3840	39	220
60	3840	5	228
60	3840	27	198
60	3840	35	220
60	3840	7	202
60	3840	13	219
60	3840	23	188
60	3840	31	208
60	3840	4	217
60	3840	22	181
60	3840	15	175
60	3840	11	175
60	3840	16	169
60	3840	20	88
60	3840	38	95
60	3840	33	84
60	3840	28	86
60	3840	19	86
60	3840	14	121
60	3840	30	85
60	3840	40	85
60	3840	12	186
60	3840	32	133
60	3840	1	83
60	3840	29	87
60	3840	21	86
60	3840	36	90
60	3840	8	85
60	3840	6	87
60	3840	3	85
60	3840	2	85
60	3840	9	137
60	3840	34	177
60	3840	37	184
60	3840	26	181
60	3840	25	165
60	3840	24	85
60	3840	10	92
60	3840	18	86
15	960	17	83
15	960	39	83
15	960	5	85
15	960	27	82
15	960	35	84
15	960	7	84
15	960	13	88
15	960	23	84
15	960	31	84
15	960	4	170
15	960	22	86
15	960	15	85
15	960	11	92
15	960	16	84
15	960	20	84
15	960	38	84
15	960	33	84
15	960	28	84
15	960	19	84
15	960	14	85
15	960	30	85
15	960	40	83
15	960	12	83
15	960	32	84
15	960	1	169
15	960	29	84
15	960	21	84
15	960	36	82
15	960	8	89
15	960	6	96
15	960	3	207
15	960	2	230
15	960	9	94
15	960	34	82
15	960	37	82
15	960	26	85
15	960	25	82
15	960	24	82
15	960	10	85
15	960	18	84
42	2688	17	218
42	2688	39	154
42	2688	5	86
42	2688	27	84
42	2688	35	84
42	2688	7	87
42	2688	13	179
42	2688	23	87
42	2688	31	85
42	2688	4	86
42	2688	22	86
42	2688	15	166
42	2688	11	112
42	2688	16	110
42	2688	20	85
42	2688	38	110
42	2688	33	182
42	2688	28	190
42	2688	19	200
42	2688	14	198
42	2688	30	176
42	2688	40	97
42	2688	12	98
42	2688	32	85
42	2688	1	85
42	2688	29	85
42	2688	21	89
42	2688	36	183
42	2688	8	217
42	2688	6	194
42	2688	3	197
42	2688	2	230
42	2688	9	233
42	2688	34	196
42	2688	37	173
42	2688	26	85
42	2688	25	86
42	2688	24	83
42	2688	10	132
42	2688	18	87
17	1088	17	84
17	1088	39	84
17	1088	5	196
17	1088	27	83
17	1088	35	81
17	1088	7	82
17	1088	13	84
17	1088	23	85
17	1088	31	84
17	1088	4	237
17	1088	22	81
17	1088	15	83
17	1088	11	84
17	1088	16	84
17	1088	20	81
17	1088	38	83
17	1088	33	83
17	1088	28	82
17	1088	19	84
17	1088	14	83
17	1088	30	81
17	1088	40	85
17	1088	12	84
17	1088	32	82
17	1088	1	230
17	1088	29	85
17	1088	21	84
17	1088	36	83
17	1088	8	83
17	1088	6	92
17	1088	3	192
17	1088	2	221
17	1088	9	83
17	1088	34	85
17	1088	37	82
17	1088	26	82
17	1088	25	82
17	1088	24	82
17	1088	10	82
17	1088	18	82
30	1920	17	83
30	1920	39	83
30	1920	5	197
30	1920	27	82
30	1920	35	83
30	1920	7	86
30	1920	13	84
30	1920	23	81
30	1920	31	82
30	1920	4	219
30	1920	22	85
30	1920	15	84
30	1920	11	85
30	1920	16	83
30	1920	20	83
30	1920	38	83
30	1920	33	82
30	1920	28	84
30	1920	19	82
30	1920	14	82
30	1920	30	87
30	1920	40	85
30	1920	12	85
30	1920	32	85
30	1920	1	84
30	1920	29	84
30	1920	21	85
30	1920	36	85
30	1920	8	86
30	1920	6	92
30	1920	3	193
30	1920	2	184
30	1920	9	87
30	1920	34	82
30	1920	37	84
30	1920	26	82
30	1920	25	82
30	1920	24	85
30	1920	10	84
30	1920	18	82
58	3712	17	220
58	3712	39	215
58	3712	5	202
58	3712	27	132
58	3712	35	93
58	3712	7	86
58	3712	13	146
58	3712	23	85
58	3712	31	87
58	3712	4	85
58	3712	22	209
58	3712	15	189
58	3712	11	199
58	3712	16	173
58	3712	20	201
58	3712	38	222
58	3712	33	192
58	3712	28	85
58	3712	19	85
58	3712	14	155
58	3712	30	86
58	3712	40	92
58	3712	12	127
58	3712	32	85
58	3712	1	84
58	3712	29	85
58	3712	21	87
58	3712	36	93
58	3712	8	139
58	3712	6	403
58	3712	3	238
58	3712	2	232
58	3712	9	177
58	3712	34	184
58	3712	37	209
58	3712	26	206
58	3712	25	143
58	3712	24	87
58	3712	10	119
58	3712	18	85
20	1280	17	81
20	1280	39	84
20	1280	5	84
20	1280	27	82
20	1280	35	80
20	1280	7	84
20	1280	13	84
20	1280	23	87
20	1280	31	85
20	1280	4	227
20	1280	22	85
20	1280	15	84
20	1280	11	84
20	1280	16	84
20	1280	20	85
20	1280	38	81
20	1280	33	81
20	1280	28	82
20	1280	19	82
20	1280	14	84
20	1280	30	83
20	1280	40	85
20	1280	12	84
20	1280	32	84
20	1280	1	83
20	1280	29	84
20	1280	21	82
20	1280	36	83
20	1280	8	82
20	1280	6	82
20	1280	3	84
20	1280	2	83
