train_step	probe_pos	offset_bytes	role	avg_ns
19	2	640	accessed	86
19	3	960	accessed	86
19	4	1280	accessed	84
19	5	1600	accessed	83
19	6	1920	accessed	86
19	7	2240	accessed	83
19	8	2560	accessed	81
19	9	2880	accessed	82
19	10	3200	accessed	84
19	11	3520	accessed	83
19	12	3840	accessed	82
19	13	4160	accessed	84
19	14	4480	accessed	84
19	15	4800	accessed	85
19	16	5120	accessed	82
19	17	5440	accessed	88
19	18	5760	accessed	84
19	19	6080	candidate	113
19	20	6400	candidate	232
19	21	6720	candidate	89
19	22	7040	candidate	226
19	23	7360	candidate	233
19	24	7680	candidate	223
19	25	8000	candidate	230
19	26	8320	candidate	234
19	27	8640	candidate	236
19	28	8960	candidate	224
19	29	9280	candidate	233
19	30	9600	candidate	236
19	31	9920	candidate	225
19	32	10240	candidate	235
19	33	10560	candidate	237
19	34	10880	candidate	248
19	35	11200	candidate	226
19	36	11520	candidate	233
19	37	11840	candidate	225
19	38	12160	candidate	221
19	39	12480	candidate	233
20	0	0	accessed	82
20	1	320	accessed	84
20	2	640	accessed	87
20	3	960	accessed	80
20	4	1280	accessed	84
20	5	1600	accessed	84
20	6	1920	accessed	88
20	7	2240	accessed	83
20	8	2560	accessed	86
20	9	2880	accessed	79
20	10	3200	accessed	87
20	11	3520	accessed	86
20	12	3840	accessed	79
20	13	4160	accessed	84
20	14	4480	accessed	85
20	15	4800	accessed	84
20	16	5120	accessed	81
20	17	5440	accessed	83
20	18	5760	accessed	86
20	19	6080	accessed	87
20	20	6400	candidate	232
20	21	6720	candidate	92
20	22	7040	candidate	223
20	23	7360	candidate	230
20	24	7680	candidate	224
20	25	8000	candidate	229
20	26	8320	candidate	232
20	27	8640	candidate	238
20	28	8960	candidate	224
20	29	9280	candidate	236
20	30	9600	candidate	232
20	31	9920	candidate	221
20	32	10240	candidate	236
20	33	10560	candidate	239
20	34	10880	candidate	221
20	35	11200	candidate	227
20	36	11520	candidate	236
20	37	11840	candidate	228
20	38	12160	candidate	224
20	39	12480	candidate	230
