stride_lines	stride_bytes	train_step	avg_ns
14	896	29	108
14	896	30	85
14	896	31	87
14	896	32	83
14	896	33	88
14	896	34	83
14	896	35	86
14	896	36	84
14	896	37	84
14	896	38	85
14	896	39	84
15	960	0	223
15	960	1	213
15	960	2	213
15	960	3	93
15	960	4	93
15	960	5	92
15	960	6	213
15	960	7	217
15	960	8	229
15	960	9	221
15	960	10	219
15	960	11	197
15	960	12	166
15	960	13	213
15	960	14	126
15	960	15	166
15	960	16	182
15	960	17	93
15	960	18	96
15	960	19	124
15	960	20	93
15	960	21	129
15	960	22	118
15	960	23	86
15	960	24	129
15	960	25	99
15	960	26	153
15	960	27	100
15	960	28	108
15	960	29	93
15	960	30	86
15	960	31	85
15	960	32	90
15	960	33	83
15	960	34	84
15	960	35	86
15	960	36	86
15	960	37	83
15	960	38	85
15	960	39	82
16	1024	0	236
16	1024	1	241
16	1024	2	243
16	1024	3	239
16	1024	4	238
16	1024	5	240
16	1024	6	90
16	1024	7	93
16	1024	8	93
16	1024	9	87
16	1024	10	96
16	1024	11	93
16	1024	12	93
16	1024	13	90
16	1024	14	90
16	1024	15	88
16	1024	16	90
16	1024	17	99
16	1024	18	88
16	1024	19	88
16	1024	20	94
16	1024	21	83
16	1024	22	94
16	1024	23	89
16	1024	24	86
16	1024	25	89
16	1024	26	84
16	1024	27	86
16	1024	28	82
16	1024	29	82
16	1024	30	83
16	1024	31	86
16	1024	32	80
16	1024	33	85
16	1024	34	86
16	1024	35	82
16	1024	36	89
16	1024	37	83
16	1024	38	84
16	1024	39	86
17	1088	0	233
17	1088	1	234
17	1088	2	236
17	1088	3	240
17	1088	4	97
17	1088	5	93
17	1088	6	91
17	1088	7	153
17	1088	8	223
17	1088	9	148
17	1088	10	155
17	1088	11	146
17	1088	12	120
17	1088	13	202
17	1088	14	156
17	1088	15	222
17	1088	16	90
17	1088	17	141
17	1088	18	90
17	1088	19	90
17	1088	20	99
17	1088	21	147
17	1088	22	87
17	1088	23	120
17	1088	24	85
17	1088	25	88
17	1088	26	133
17	1088	27	97
17	1088	28	90
17	1088	29	87
17	1088	30	84
